Type,Name,Brand,Rating,Ingredient,Link,,,,,
Sunscreen,Sun Protection SPF 30 PA+++,Emina,3.6,"Zinc Oxide, Titanium Dioxide, Octocrylene, Avobenzone, Homosalate, Octisalate, Oxybenzone, Ethylhexyl Methoxycinnamate (Octinoxate), Butyl Methoxydibenzoylmethane, Uvinul A Plus",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/emina/sun-protection-spf-30-pa?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,
Sunscreen,Hydrasoothe Sunscreen Gel SPF 45+++,Azarine Cosmetics,4.1,"Titanium Dioxide, Zinc Oxide, Ethylhexyl Methoxycinnamate, Homosalate, Octocrylene, Avobenzone",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/azarine-cosmetics/hydrashoothe-sunscreen-gel-spf45-3?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,
Sunscreen,UV Moisture Milk,Skin Aqua,4.2,"Octocrylene, Homosalate, Ethylhexyl Methoxycinnamate, Avobenzone, Titanium Dioxide",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/skin-aqua/uv-moisture-milk?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,
Sunscreen,UV Shield Essential Sunscreen Gel SPF 35 PA +++,Wardah,3.3,"Octocrylene, Avobenzone, Homosalate, Octisalate, Oxybenzone, Titanium Dioxide",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/wardah/sun-block-spf-33?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,
Sunscreen,UV Aqua Rich Watery Essence SPF 50+/PA++++,Biore,4.2,"Zinc Oxide, Titanium Dioxide, Octocrylene, Homosalate, Avobenzone",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/biore/uv-aqua-rich-watery-essence?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,
Sunscreen,UV Moisture Gel,Skin Aqua,4,"Ethylhexyl Methoxycinnamate, Titanium Dioxide, Homosalate, Avobenzone",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/skin-aqua/uv-moisture-gel-69?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,
Sunscreen,UV Perfect Matte & Fresh Long UV SPF 50/ PA++++,L'Oreal Paris,3.7,"Titanium Dioxide, Zinc Oxide, Avobenzone, Octocrylene, Homosalate",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/loreal-paris/uv-perfect-matte-and-fresh-long-uv-spf-50-pa?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,
Sunscreen,Cica Beat The Sun,NPURE,4.1,"Zinc Oxide, Titanium Dioxide, Ethylhexyl Methoxycinnamate, Octocrylene",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/npure/cica-beat-the-sun?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,
Sunscreen,Sun Protect & White Oil Control Serum SPF 50+,NIVEA,3.9,ML\Dataset\Indonesian_Skincare_Dataset_from_Female_Daily.xlsx,https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/nivea/sun-protect-and-white-oil-control-serum-spf50-pa?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,
Sunscreen,UV Defender Bright & Clear,L'Oreal Paris,3.9,"Zinc Oxide, Octocrylene, Avobenzone, Homosalate",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/loreal-paris/uv-defender-bright-clear?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,
