skincare_type,skincare_name,Brand,Rating,ingredient,Link,,,,,,brand
Sunscreen,Sun Protection SPF 30 PA+++,Emina,3.6,"Zinc Oxide, Titanium Dioxide, Octocrylene, Avobenzone, Homosalate, Octisalate, Oxybenzone, Ethylhexyl Methoxycinnamate (Octinoxate), Butyl Methoxydibenzoylmethane, Uvinul A Plus",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/emina/sun-protection-spf-30-pa?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,Sun Protection SPF 30 PA+++
Sunscreen,Hydrasoothe Sunscreen Gel SPF 45+++,Azarine Cosmetics,4.1,"Titanium Dioxide, Zinc Oxide, Ethylhexyl Methoxycinnamate, Homosalate, Octocrylene, Avobenzone",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/azarine-cosmetics/hydrashoothe-sunscreen-gel-spf45-3?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,Hydrasoothe Sunscreen Gel SPF 45+++
Sunscreen,UV Moisture Milk,Skin Aqua,4.2,"Octocrylene, Homosalate, Ethylhexyl Methoxycinnamate, Avobenzone, Titanium Dioxide",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/skin-aqua/uv-moisture-milk?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,UV Moisture Milk
Sunscreen,UV Shield Essential Sunscreen Gel SPF 35 PA +++,Wardah,3.3,"Octocrylene, Avobenzone, Homosalate, Octisalate, Oxybenzone, Titanium Dioxide",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/wardah/sun-block-spf-33?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,UV Shield Essential Sunscreen Gel SPF 35 PA +++
Sunscreen,UV Aqua Rich Watery Essence SPF 50+/PA++++,Biore,4.2,"Zinc Oxide, Titanium Dioxide, Octocrylene, Homosalate, Avobenzone",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/biore/uv-aqua-rich-watery-essence?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,UV Aqua Rich Watery Essence SPF 50+/PA++++
Sunscreen,UV Moisture Gel,Skin Aqua,4,"Ethylhexyl Methoxycinnamate, Titanium Dioxide, Homosalate, Avobenzone",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/skin-aqua/uv-moisture-gel-69?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,UV Moisture Gel
Sunscreen,UV Perfect Matte & Fresh Long UV SPF 50/ PA++++,L'Oreal Paris,3.7,"Titanium Dioxide, Zinc Oxide, Avobenzone, Octocrylene, Homosalate",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/loreal-paris/uv-perfect-matte-and-fresh-long-uv-spf-50-pa?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,UV Perfect Matte & Fresh Long UV SPF 50/ PA++++
Sunscreen,Cica Beat The Sun,NPURE,4.1,"Zinc Oxide, Titanium Dioxide, Ethylhexyl Methoxycinnamate, Octocrylene",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/npure/cica-beat-the-sun?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,Cica Beat The Sun
Sunscreen,Sun Protect & White Oil Control Serum SPF 50+,NIVEA,3.9,ML\Dataset\Indonesian_Skincare_Dataset_from_Female_Daily.xlsx,https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/nivea/sun-protect-and-white-oil-control-serum-spf50-pa?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,Sun Protect & White Oil Control Serum SPF 50+
Sunscreen,UV Defender Bright & Clear,L'Oreal Paris,3.9,"Zinc Oxide, Octocrylene, Avobenzone, Homosalate",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/loreal-paris/uv-defender-bright-clear?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,UV Defender Bright & Clear
Sunscreen,UV Tint,Acnes,3.7,"Titanium Dioxide, Zinc Oxide, Octocrylene, Homosalate",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/acnes/uv-tint?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,UV Tint
Sunscreen,Solar Smart UV Protector SPF45 PA++++,Carasun,3.7,"Ethylhexyl Methoxycinnamate, Titanium Dioxide, Zinc Oxide, Avobenzone",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/carasun/carasun-solar-smart-uv-protector-spf45-pa?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,Solar Smart UV Protector SPF45 PA++++
Sunscreen,Sun Protect & White Serum Instant Aura SPF 50+,NIVEA,3.9,"Zinc Oxide, Titanium Dioxide, Octocrylene, Homosalate, Avobenzone",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/nivea/nivea-sun-protect-and-white-serum?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,Sun Protect & White Serum Instant Aura SPF 50+
Sunscreen,UV Whitening Milk,Skin Aqua,4.3,"Ethylhexyl Methoxycinnamate, Titanium Dioxide, Homosalate, Octocrylene",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/skin-aqua/uv-whitening-milk?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,UV Whitening Milk
Sunscreen,Hydramax-C Sunscreen Serum SPF 50 PA++++,Azarine Cosmetics,4,"Zinc Oxide, Titanium Dioxide, Ethylhexyl Methoxycinnamate, Avobenzone",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/azarine-cosmetics/hydramax-c-sunscreen-serum-spf-50-pa-blueloght-protection-brightening-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,Hydramax-C Sunscreen Serum SPF 50 PA++++
Sunscreen,Aloe Soothing Sun Cream,Cosrx,4.1,"Titanium Dioxide, Zinc Oxide, Octocrylene, Homosalate, Avobenzone",https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/cosrx/aloe-soothing-sun-cream?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1,,,,,,Aloe Soothing Sun Cream
